domain,cell,rho_bin,n,mean_auroc,p95_auroc
qa,spectral_phase9_cache_trivia_qa_traces_T1.0,0.25-0.5,1160,0.6765,0.96
qa,spectral_phase9_cache_trivia_qa_traces_T1.0,0.5-0.75,3160,0.6431,0.96
qa,spectral_phase9_cache_trivia_qa_traces_T1.0,>=0.75,11771,0.7635,0.96
qa,spectral_phase9_cache_webq_cot_traces_T1.0,<0.25,386,0.5634,0.6184
qa,spectral_phase9_cache_webq_cot_traces_T1.0,0.25-0.5,2376,0.5827,0.6369
qa,spectral_phase9_cache_webq_cot_traces_T1.0,0.5-0.75,15027,0.5982,0.6387
qa,spectral_phase9_cache_webq_cot_traces_T1.0,>=0.75,47610,0.5947,0.6344
rag,Llama-8B/2wikimultihopqa,<0.25,53,0.5079,0.6535
rag,Llama-8B/2wikimultihopqa,0.25-0.5,287,0.4992,0.6065
rag,Llama-8B/2wikimultihopqa,0.5-0.75,1469,0.5163,0.5893
rag,Llama-8B/2wikimultihopqa,>=0.75,14469,0.5368,0.5811
rag,Llama-8B/hotpotqa,<0.25,52,0.6678,0.8256
rag,Llama-8B/hotpotqa,0.25-0.5,868,0.6923,0.8288
rag,Llama-8B/hotpotqa,0.5-0.75,3300,0.6676,0.8044
rag,Llama-8B/hotpotqa,>=0.75,12058,0.7025,0.8335
rag,Llama-8B/narrativeqa,<0.25,226,0.5563,0.6277
rag,Llama-8B/narrativeqa,0.25-0.5,586,0.5478,0.6147
rag,Llama-8B/narrativeqa,0.5-0.75,5998,0.5402,0.6174
rag,Llama-8B/narrativeqa,>=0.75,9468,0.5292,0.5984
rag,Llama-8B/natural-questions,<0.25,418,0.4934,0.6241
rag,Llama-8B/natural-questions,0.25-0.5,693,0.5311,0.6416
rag,Llama-8B/natural-questions,0.5-0.75,6466,0.5797,0.667
rag,Llama-8B/natural-questions,>=0.75,8701,0.6025,0.6781
rag,Mistral-24B/2wikimultihopqa,<0.25,231,0.4398,0.5615
rag,Mistral-24B/2wikimultihopqa,0.25-0.5,839,0.4322,0.5627
rag,Mistral-24B/2wikimultihopqa,0.5-0.75,9555,0.4393,0.5208
rag,Mistral-24B/2wikimultihopqa,>=0.75,54774,0.4274,0.4875
rag,Mistral-24B/hotpotqa,<0.25,141,0.5894,0.6984
rag,Mistral-24B/hotpotqa,0.25-0.5,1158,0.6188,0.6944
rag,Mistral-24B/hotpotqa,0.5-0.75,5232,0.628,0.6806
rag,Mistral-24B/hotpotqa,>=0.75,58868,0.6237,0.6607
rag,Mistral-24B/narrativeqa,<0.25,133,0.552,0.6284
rag,Mistral-24B/narrativeqa,0.25-0.5,550,0.5578,0.6213
rag,Mistral-24B/narrativeqa,0.5-0.75,3825,0.5642,0.6119
rag,Mistral-24B/narrativeqa,>=0.75,11770,0.5601,0.6086
rag,Mistral-24B/natural-questions,<0.25,152,0.4549,0.6392
rag,Mistral-24B/natural-questions,0.25-0.5,938,0.4518,0.664
rag,Mistral-24B/natural-questions,0.5-0.75,9534,0.3988,0.581
rag,Mistral-24B/natural-questions,>=0.75,54775,0.3865,0.4794
rag,Qwen-72B/2wikimultihopqa,<0.25,34,0.5043,0.6144
rag,Qwen-72B/2wikimultihopqa,0.25-0.5,687,0.5335,0.5987
rag,Qwen-72B/2wikimultihopqa,0.5-0.75,3775,0.5216,0.5927
rag,Qwen-72B/2wikimultihopqa,>=0.75,28151,0.5117,0.5802
rag,Qwen-72B/hotpotqa,<0.25,38,0.5969,0.6888
rag,Qwen-72B/hotpotqa,0.25-0.5,330,0.6852,0.7409
rag,Qwen-72B/hotpotqa,0.5-0.75,4000,0.7144,0.7649
rag,Qwen-72B/hotpotqa,>=0.75,28279,0.7236,0.7692
rag,Qwen-72B/narrativeqa,<0.25,51,0.5557,0.6409
rag,Qwen-72B/narrativeqa,0.25-0.5,700,0.5679,0.6181
rag,Qwen-72B/narrativeqa,0.5-0.75,1839,0.5746,0.6312
rag,Qwen-72B/narrativeqa,>=0.75,13688,0.5952,0.6404
rag,Qwen-72B/natural-questions,<0.25,37,0.5892,0.661
rag,Qwen-72B/natural-questions,0.25-0.5,509,0.5872,0.6447
rag,Qwen-72B/natural-questions,0.5-0.75,714,0.6048,0.6541
rag,Qwen-72B/natural-questions,>=0.75,6840,0.6183,0.6617
rag,Qwen-7B/2wikimultihopqa,<0.25,136,0.5452,0.6762
rag,Qwen-7B/2wikimultihopqa,0.25-0.5,2138,0.541,0.6533
rag,Qwen-7B/2wikimultihopqa,0.5-0.75,13723,0.5333,0.6545
rag,Qwen-7B/2wikimultihopqa,>=0.75,49402,0.5166,0.6284
rag,Qwen-7B/hotpotqa,<0.25,125,0.6019,0.7064
rag,Qwen-7B/hotpotqa,0.25-0.5,3338,0.6197,0.7232
rag,Qwen-7B/hotpotqa,0.5-0.75,19444,0.6096,0.7063
rag,Qwen-7B/hotpotqa,>=0.75,42492,0.5985,0.7152
rag,Qwen-7B/narrativeqa,<0.25,204,0.5848,0.6797
rag,Qwen-7B/narrativeqa,0.25-0.5,900,0.5498,0.6632
rag,Qwen-7B/narrativeqa,0.5-0.75,9967,0.5673,0.6658
rag,Qwen-7B/narrativeqa,>=0.75,54328,0.6076,0.6768
rag,Qwen-7B/natural-questions,<0.25,100,0.5415,0.6572
rag,Qwen-7B/natural-questions,0.25-0.5,1035,0.5756,0.6732
rag,Qwen-7B/natural-questions,0.5-0.75,11535,0.6066,0.6868
rag,Qwen-7B/natural-questions,>=0.75,52729,0.6022,0.6759
trace,gpqa_r1_7b_raw,<0.25,242,0.4975,0.5676
trace,gpqa_r1_7b_raw,0.25-0.5,940,0.4894,0.5736
trace,gpqa_r1_7b_raw,0.5-0.75,7920,0.4789,0.5655
trace,gpqa_r1_7b_raw,>=0.75,23545,0.4485,0.5568
trace,gsm8k_llama8b_raw,<0.25,189,0.5984,0.7545
trace,gsm8k_llama8b_raw,0.25-0.5,1545,0.6037,0.7548
trace,gsm8k_llama8b_raw,0.5-0.75,10232,0.6136,0.7567
trace,gsm8k_llama8b_raw,>=0.75,53433,0.6176,0.7578
trace,math500_qwen1.5b_raw,<0.25,53,0.5832,0.6267
trace,math500_qwen1.5b_raw,0.25-0.5,118,0.6252,0.6807
trace,math500_qwen1.5b_raw,0.5-0.75,1707,0.6425,0.6728
trace,math500_qwen1.5b_raw,>=0.75,63521,0.6639,0.6782
