architecture,auprc,auroc,base_architecture,budget,calibration_f1,clean_abstention,exact_error,f1,family,locator,model,n,primary,task,threshold,weight,within_one
a_one_shared__w1.00__persistent_onset,nan,nan,a_one_shared,512,,,,,gsm8k,persistent_onset,qwen3_4b,5,nan,online_budget,,1.0,
a_two_global_local__w0.00__peak,0.8474730357925596,0.8333758937691521,a_two_global_local,,,,,,gsm8k,peak,qwen3_4b,177,0.8333758937691521,global,,0.0,
a_two_global_local__w0.00__peak,,,a_two_global_local,,0.34521313766596784,0.6024096385542169,0.2765957446808511,0.3791192767570721,gsm8k,peak,qwen3_4b,177,0.3791192767570721,local,0.2101658353945618,0.0,0.48936170212765956
a_two_global_local__w0.00__peak,,,a_two_global_local,,,,,,gsm8k,peak,qwen3_4b,0,0.6549956873001844,online,,0.0,
a_two_global_local__w0.00__peak,0.5873872102002643,0.5833758937691521,a_two_global_local,16,,,,,gsm8k,peak,qwen3_4b,177,0.5833758937691521,online_budget,,0.0,
a_two_global_local__w0.00__peak,0.5543505940043416,0.5435393258426966,a_two_global_local,32,,,,,gsm8k,peak,qwen3_4b,177,0.5435393258426966,online_budget,,0.0,
a_two_global_local__w0.00__peak,0.5877692909254235,0.6046986721144025,a_two_global_local,64,,,,,gsm8k,peak,qwen3_4b,177,0.6046986721144025,online_budget,,0.0,
a_two_global_local__w0.00__peak,0.6769323792277919,0.7052927024859663,a_two_global_local,128,,,,,gsm8k,peak,qwen3_4b,173,0.7052927024859663,online_budget,,0.0,
a_two_global_local__w0.00__peak,0.8683268421872554,0.7625292740046838,a_two_global_local,256,,,,,gsm8k,peak,qwen3_4b,96,0.7625292740046838,online_budget,,0.0,
a_two_global_local__w0.00__peak,nan,nan,a_two_global_local,512,,,,,gsm8k,peak,qwen3_4b,5,nan,online_budget,,0.0,
a_two_global_local__w0.00__persistent_onset,0.8474730357925596,0.8333758937691521,a_two_global_local,,,,,,gsm8k,persistent_onset,qwen3_4b,177,0.8333758937691521,global,,0.0,
a_two_global_local__w0.00__persistent_onset,,,a_two_global_local,,0.38072371805865207,0.5903614457831325,0.26595744680851063,0.36671157012423294,gsm8k,persistent_onset,qwen3_4b,177,0.36671157012423294,local,0.17183815247592968,0.0,0.5425531914893617
a_two_global_local__w0.00__persistent_onset,,,a_two_global_local,,,,,,gsm8k,persistent_onset,qwen3_4b,0,0.6549956873001844,online,,0.0,
a_two_global_local__w0.00__persistent_onset,0.5873872102002643,0.5833758937691521,a_two_global_local,16,,,,,gsm8k,persistent_onset,qwen3_4b,177,0.5833758937691521,online_budget,,0.0,
a_two_global_local__w0.00__persistent_onset,0.5543505940043416,0.5435393258426966,a_two_global_local,32,,,,,gsm8k,persistent_onset,qwen3_4b,177,0.5435393258426966,online_budget,,0.0,
a_two_global_local__w0.00__persistent_onset,0.5877692909254235,0.6046986721144025,a_two_global_local,64,,,,,gsm8k,persistent_onset,qwen3_4b,177,0.6046986721144025,online_budget,,0.0,
a_two_global_local__w0.00__persistent_onset,0.6769323792277919,0.7052927024859663,a_two_global_local,128,,,,,gsm8k,persistent_onset,qwen3_4b,173,0.7052927024859663,online_budget,,0.0,
a_two_global_local__w0.00__persistent_onset,0.8683268421872554,0.7625292740046838,a_two_global_local,256,,,,,gsm8k,persistent_onset,qwen3_4b,96,0.7625292740046838,online_budget,,0.0,
a_two_global_local__w0.00__persistent_onset,nan,nan,a_two_global_local,512,,,,,gsm8k,persistent_onset,qwen3_4b,5,nan,online_budget,,0.0,
a_two_global_local__w0.25__peak,0.8474730357925596,0.8333758937691521,a_two_global_local,,,,,,gsm8k,peak,qwen3_4b,177,0.8333758937691521,global,,0.25,
a_two_global_local__w0.25__peak,,,a_two_global_local,,0.35386631716906947,0.5542168674698795,0.2872340425531915,0.37837014470677843,gsm8k,peak,qwen3_4b,177,0.37837014470677843,local,0.06474325181046303,0.25,0.5
a_two_global_local__w0.25__peak,,,a_two_global_local,,,,,,gsm8k,peak,qwen3_4b,0,0.6831303197131748,online,,0.25,
a_two_global_local__w0.25__peak,0.6080461193574855,0.602017364657814,a_two_global_local,16,,,,,gsm8k,peak,qwen3_4b,177,0.602017364657814,online_budget,,0.25,
a_two_global_local__w0.25__peak,0.5742448982299433,0.559244126659857,a_two_global_local,32,,,,,gsm8k,peak,qwen3_4b,177,0.559244126659857,online_budget,,0.25,
a_two_global_local__w0.25__peak,0.657870114408031,0.6361082737487233,a_two_global_local,64,,,,,gsm8k,peak,qwen3_4b,177,0.6361082737487233,online_budget,,0.25,
a_two_global_local__w0.25__peak,0.7399603623732569,0.7301523656776263,a_two_global_local,128,,,,,gsm8k,peak,qwen3_4b,173,0.7301523656776263,online_budget,,0.25,
a_two_global_local__w0.25__peak,0.8988386158685793,0.8023419203747074,a_two_global_local,256,,,,,gsm8k,peak,qwen3_4b,96,0.8023419203747074,online_budget,,0.25,
a_two_global_local__w0.25__peak,nan,nan,a_two_global_local,512,,,,,gsm8k,peak,qwen3_4b,5,nan,online_budget,,0.25,
a_two_global_local__w0.25__persistent_onset,0.8474730357925596,0.8333758937691521,a_two_global_local,,,,,,gsm8k,persistent_onset,qwen3_4b,177,0.8333758937691521,global,,0.25,
a_two_global_local__w0.25__persistent_onset,,,a_two_global_local,,0.3912494741270509,0.5542168674698795,0.26595744680851063,0.35943116111892487,gsm8k,persistent_onset,qwen3_4b,177,0.35943116111892487,local,0.06474325181046303,0.25,0.5425531914893617
a_two_global_local__w0.25__persistent_onset,,,a_two_global_local,,,,,,gsm8k,persistent_onset,qwen3_4b,0,0.6831303197131748,online,,0.25,
a_two_global_local__w0.25__persistent_onset,0.6080461193574855,0.602017364657814,a_two_global_local,16,,,,,gsm8k,persistent_onset,qwen3_4b,177,0.602017364657814,online_budget,,0.25,
a_two_global_local__w0.25__persistent_onset,0.5742448982299433,0.559244126659857,a_two_global_local,32,,,,,gsm8k,persistent_onset,qwen3_4b,177,0.559244126659857,online_budget,,0.25,
a_two_global_local__w0.25__persistent_onset,0.657870114408031,0.6361082737487233,a_two_global_local,64,,,,,gsm8k,persistent_onset,qwen3_4b,177,0.6361082737487233,online_budget,,0.25,
a_two_global_local__w0.25__persistent_onset,0.7399603623732569,0.7301523656776263,a_two_global_local,128,,,,,gsm8k,persistent_onset,qwen3_4b,173,0.7301523656776263,online_budget,,0.25,
a_two_global_local__w0.25__persistent_onset,0.8988386158685793,0.8023419203747074,a_two_global_local,256,,,,,gsm8k,persistent_onset,qwen3_4b,96,0.8023419203747074,online_budget,,0.25,
a_two_global_local__w0.25__persistent_onset,nan,nan,a_two_global_local,512,,,,,gsm8k,persistent_onset,qwen3_4b,5,nan,online_budget,,0.25,
a_two_global_local__w0.50__peak,0.8474730357925596,0.8333758937691521,a_two_global_local,,,,,,gsm8k,peak,qwen3_4b,177,0.8333758937691521,global,,0.5,
a_two_global_local__w0.50__peak,,,a_two_global_local,,0.3442395399563752,0.5180722891566265,0.32978723404255317,0.4030234315948602,gsm8k,peak,qwen3_4b,177,0.4030234315948602,local,-0.16470147944680993,0.5,0.5531914893617021
a_two_global_local__w0.50__peak,,,a_two_global_local,,,,,,gsm8k,peak,qwen3_4b,0,0.6984117346391299,online,,0.5,
a_two_global_local__w0.50__peak,0.616125269062294,0.6145301327885597,a_two_global_local,16,,,,,gsm8k,peak,qwen3_4b,177,0.6145301327885597,online_budget,,0.5,
a_two_global_local__w0.50__peak,0.5905532474406925,0.5717568947906027,a_two_global_local,32,,,,,gsm8k,peak,qwen3_4b,177,0.5717568947906027,online_budget,,0.5,
a_two_global_local__w0.50__peak,0.6886755624504421,0.6570480081716037,a_two_global_local,64,,,,,gsm8k,peak,qwen3_4b,177,0.6570480081716037,online_budget,,0.5,
a_two_global_local__w0.50__peak,0.7560811602674775,0.739775461106656,a_two_global_local,128,,,,,gsm8k,peak,qwen3_4b,173,0.739775461106656,online_budget,,0.5,
a_two_global_local__w0.50__peak,0.8998774831060932,0.8060889929742387,a_two_global_local,256,,,,,gsm8k,peak,qwen3_4b,96,0.8060889929742387,online_budget,,0.5,
a_two_global_local__w0.50__peak,nan,nan,a_two_global_local,512,,,,,gsm8k,peak,qwen3_4b,5,nan,online_budget,,0.5,
a_two_global_local__w0.50__persistent_onset,0.8474730357925596,0.8333758937691521,a_two_global_local,,,,,,gsm8k,persistent_onset,qwen3_4b,177,0.8333758937691521,global,,0.5,
a_two_global_local__w0.50__persistent_onset,,,a_two_global_local,,0.38473110191801424,0.5180722891566265,0.30851063829787234,0.38672662428283455,gsm8k,persistent_onset,qwen3_4b,177,0.38672662428283455,local,-0.16470147944680993,0.5,0.6063829787234043
a_two_global_local__w0.50__persistent_onset,,,a_two_global_local,,,,,,gsm8k,persistent_onset,qwen3_4b,0,0.6984117346391299,online,,0.5,
a_two_global_local__w0.50__persistent_onset,0.616125269062294,0.6145301327885597,a_two_global_local,16,,,,,gsm8k,persistent_onset,qwen3_4b,177,0.6145301327885597,online_budget,,0.5,
a_two_global_local__w0.50__persistent_onset,0.5905532474406925,0.5717568947906027,a_two_global_local,32,,,,,gsm8k,persistent_onset,qwen3_4b,177,0.5717568947906027,online_budget,,0.5,
a_two_global_local__w0.50__persistent_onset,0.6886755624504421,0.6570480081716037,a_two_global_local,64,,,,,gsm8k,persistent_onset,qwen3_4b,177,0.6570480081716037,online_budget,,0.5,
a_two_global_local__w0.50__persistent_onset,0.7560811602674775,0.739775461106656,a_two_global_local,128,,,,,gsm8k,persistent_onset,qwen3_4b,173,0.739775461106656,online_budget,,0.5,
a_two_global_local__w0.50__persistent_onset,0.8998774831060932,0.8060889929742387,a_two_global_local,256,,,,,gsm8k,persistent_onset,qwen3_4b,96,0.8060889929742387,online_budget,,0.5,
a_two_global_local__w0.50__persistent_onset,nan,nan,a_two_global_local,512,,,,,gsm8k,persistent_onset,qwen3_4b,5,nan,online_budget,,0.5,
a_two_global_local__w0.75__peak,0.8474730357925596,0.8333758937691521,a_two_global_local,,,,,,gsm8k,peak,qwen3_4b,177,0.8333758937691521,global,,0.75,
a_two_global_local__w0.75__peak,,,a_two_global_local,,0.34252481700591597,0.5421686746987951,0.2978723404255319,0.38449801647848636,gsm8k,peak,qwen3_4b,177,0.38449801647848636,local,-0.24529557071685387,0.75,0.5425531914893617
a_two_global_local__w0.75__peak,,,a_two_global_local,,,,,,gsm8k,peak,qwen3_4b,0,0.7121949505507122,online,,0.75,
a_two_global_local__w0.75__peak,0.6039245819267591,0.6126149131767109,a_two_global_local,16,,,,,gsm8k,peak,qwen3_4b,177,0.6126149131767109,online_budget,,0.75,
a_two_global_local__w0.75__peak,0.6011345213464896,0.5828651685393259,a_two_global_local,32,,,,,gsm8k,peak,qwen3_4b,177,0.5828651685393259,online_budget,,0.75,
a_two_global_local__w0.75__peak,0.7084731161068509,0.6763278855975485,a_two_global_local,64,,,,,gsm8k,peak,qwen3_4b,177,0.6763278855975485,online_budget,,0.75,
a_two_global_local__w0.75__peak,0.7638360556543258,0.748062015503876,a_two_global_local,128,,,,,gsm8k,peak,qwen3_4b,173,0.748062015503876,online_budget,,0.75,
a_two_global_local__w0.75__peak,0.9040442385017069,0.8159250585480093,a_two_global_local,256,,,,,gsm8k,peak,qwen3_4b,96,0.8159250585480093,online_budget,,0.75,
a_two_global_local__w0.75__peak,nan,nan,a_two_global_local,512,,,,,gsm8k,peak,qwen3_4b,5,nan,online_budget,,0.75,
a_two_global_local__w0.75__persistent_onset,0.8474730357925596,0.8333758937691521,a_two_global_local,,,,,,gsm8k,persistent_onset,qwen3_4b,177,0.8333758937691521,global,,0.75,
a_two_global_local__w0.75__persistent_onset,,,a_two_global_local,,0.38259051601254396,0.5421686746987951,0.2765957446808511,0.36631183469004386,gsm8k,persistent_onset,qwen3_4b,177,0.36631183469004386,local,-0.24529557071685387,0.75,0.5957446808510638
a_two_global_local__w0.75__persistent_onset,,,a_two_global_local,,,,,,gsm8k,persistent_onset,qwen3_4b,0,0.7121949505507122,online,,0.75,
a_two_global_local__w0.75__persistent_onset,0.6039245819267591,0.6126149131767109,a_two_global_local,16,,,,,gsm8k,persistent_onset,qwen3_4b,177,0.6126149131767109,online_budget,,0.75,
a_two_global_local__w0.75__persistent_onset,0.6011345213464896,0.5828651685393259,a_two_global_local,32,,,,,gsm8k,persistent_onset,qwen3_4b,177,0.5828651685393259,online_budget,,0.75,
a_two_global_local__w0.75__persistent_onset,0.7084731161068509,0.6763278855975485,a_two_global_local,64,,,,,gsm8k,persistent_onset,qwen3_4b,177,0.6763278855975485,online_budget,,0.75,
a_two_global_local__w0.75__persistent_onset,0.7638360556543258,0.748062015503876,a_two_global_local,128,,,,,gsm8k,persistent_onset,qwen3_4b,173,0.748062015503876,online_budget,,0.75,
a_two_global_local__w0.75__persistent_onset,0.9040442385017069,0.8159250585480093,a_two_global_local,256,,,,,gsm8k,persistent_onset,qwen3_4b,96,0.8159250585480093,online_budget,,0.75,
a_two_global_local__w0.75__persistent_onset,nan,nan,a_two_global_local,512,,,,,gsm8k,persistent_onset,qwen3_4b,5,nan,online_budget,,0.75,
a_two_global_local__w1.00__peak,0.8474730357925596,0.8333758937691521,a_two_global_local,,,,,,gsm8k,peak,qwen3_4b,177,0.8333758937691521,global,,1.0,
a_two_global_local__w1.00__peak,,,a_two_global_local,,0.3366801163554471,0.6746987951807228,0.2978723404255319,0.4132841328413284,gsm8k,peak,qwen3_4b,177,0.4132841328413284,local,-0.16371282657428113,1.0,0.5319148936170213
a_two_global_local__w1.00__peak,,,a_two_global_local,,,,,,gsm8k,peak,qwen3_4b,0,0.7142251720779513,online,,1.0,
a_two_global_local__w1.00__peak,0.5907326283594752,0.6002298263534219,a_two_global_local,16,,,,,gsm8k,peak,qwen3_4b,177,0.6002298263534219,online_budget,,1.0,
a_two_global_local__w1.00__peak,0.6163697170486016,0.5850357507660878,a_two_global_local,32,,,,,gsm8k,peak,qwen3_4b,177,0.5850357507660878,online_budget,,1.0,
a_two_global_local__w1.00__peak,0.7219164561009166,0.6866700715015323,a_two_global_local,64,,,,,gsm8k,peak,qwen3_4b,177,0.6866700715015323,online_budget,,1.0,
a_two_global_local__w1.00__peak,0.7634499952140815,0.7417802726543704,a_two_global_local,128,,,,,gsm8k,peak,qwen3_4b,173,0.7417802726543704,online_budget,,1.0,
a_two_global_local__w1.00__peak,0.9035715977535386,0.8159250585480093,a_two_global_local,256,,,,,gsm8k,peak,qwen3_4b,96,0.8159250585480093,online_budget,,1.0,
a_two_global_local__w1.00__peak,nan,nan,a_two_global_local,512,,,,,gsm8k,peak,qwen3_4b,5,nan,online_budget,,1.0,
a_two_global_local__w1.00__persistent_onset,0.8474730357925596,0.8333758937691521,a_two_global_local,,,,,,gsm8k,persistent_onset,qwen3_4b,177,0.8333758937691521,global,,1.0,
a_two_global_local__w1.00__persistent_onset,,,a_two_global_local,,0.3817257071473187,0.6746987951807228,0.2765957446808511,0.3923470762597683,gsm8k,persistent_onset,qwen3_4b,177,0.3923470762597683,local,-0.16371282657428113,1.0,0.5851063829787234
a_two_global_local__w1.00__persistent_onset,,,a_two_global_local,,,,,,gsm8k,persistent_onset,qwen3_4b,0,0.7142251720779513,online,,1.0,
a_two_global_local__w1.00__persistent_onset,0.5907326283594752,0.6002298263534219,a_two_global_local,16,,,,,gsm8k,persistent_onset,qwen3_4b,177,0.6002298263534219,online_budget,,1.0,
a_two_global_local__w1.00__persistent_onset,0.6163697170486016,0.5850357507660878,a_two_global_local,32,,,,,gsm8k,persistent_onset,qwen3_4b,177,0.5850357507660878,online_budget,,1.0,
a_two_global_local__w1.00__persistent_onset,0.7219164561009166,0.6866700715015323,a_two_global_local,64,,,,,gsm8k,persistent_onset,qwen3_4b,177,0.6866700715015323,online_budget,,1.0,
a_two_global_local__w1.00__persistent_onset,0.7634499952140815,0.7417802726543704,a_two_global_local,128,,,,,gsm8k,persistent_onset,qwen3_4b,173,0.7417802726543704,online_budget,,1.0,
a_two_global_local__w1.00__persistent_onset,0.9035715977535386,0.8159250585480093,a_two_global_local,256,,,,,gsm8k,persistent_onset,qwen3_4b,96,0.8159250585480093,online_budget,,1.0,
a_two_global_local__w1.00__persistent_onset,nan,nan,a_two_global_local,512,,,,,gsm8k,persistent_onset,qwen3_4b,5,nan,online_budget,,1.0,
a_three_independent__w0.00__peak,0.8474730357925596,0.8333758937691521,a_three_independent,,,,,,gsm8k,peak,qwen3_4b,177,0.8333758937691521,global,,0.0,
a_three_independent__w0.00__peak,,,a_three_independent,,0.34521313766596784,0.6024096385542169,0.2765957446808511,0.3791192767570721,gsm8k,peak,qwen3_4b,177,0.3791192767570721,local,0.2101658353945618,0.0,0.48936170212765956
a_three_independent__w0.00__peak,,,a_three_independent,,,,,,gsm8k,peak,qwen3_4b,0,0.7105399400508786,online,,0.0,
a_three_independent__w0.00__peak,0.6308696213016699,0.6087844739530133,a_three_independent,16,,,,,gsm8k,peak,qwen3_4b,177,0.6087844739530133,online_budget,,0.0,
a_three_independent__w0.00__peak,0.6446366626354776,0.6036772216547497,a_three_independent,32,,,,,gsm8k,peak,qwen3_4b,177,0.6036772216547497,online_budget,,0.0,
a_three_independent__w0.00__peak,0.6827979740697967,0.6699438202247191,a_three_independent,64,,,,,gsm8k,peak,qwen3_4b,177,0.6699438202247191,online_budget,,0.0,
a_three_independent__w0.00__peak,0.7540068972068532,0.7511360598770381,a_three_independent,128,,,,,gsm8k,peak,qwen3_4b,173,0.7511360598770381,online_budget,,0.0,
a_three_independent__w0.00__peak,0.9001946076235124,0.8365339578454332,a_three_independent,256,,,,,gsm8k,peak,qwen3_4b,96,0.8365339578454332,online_budget,,0.0,
a_three_independent__w0.00__peak,nan,nan,a_three_independent,512,,,,,gsm8k,peak,qwen3_4b,5,nan,online_budget,,0.0,
a_three_independent__w0.00__persistent_onset,0.8474730357925596,0.8333758937691521,a_three_independent,,,,,,gsm8k,persistent_onset,qwen3_4b,177,0.8333758937691521,global,,0.0,
a_three_independent__w0.00__persistent_onset,,,a_three_independent,,0.38072371805865207,0.5903614457831325,0.26595744680851063,0.36671157012423294,gsm8k,persistent_onset,qwen3_4b,177,0.36671157012423294,local,0.17183815247592968,0.0,0.5425531914893617
a_three_independent__w0.00__persistent_onset,,,a_three_independent,,,,,,gsm8k,persistent_onset,qwen3_4b,0,0.7105399400508786,online,,0.0,
a_three_independent__w0.00__persistent_onset,0.6308696213016699,0.6087844739530133,a_three_independent,16,,,,,gsm8k,persistent_onset,qwen3_4b,177,0.6087844739530133,online_budget,,0.0,
a_three_independent__w0.00__persistent_onset,0.6446366626354776,0.6036772216547497,a_three_independent,32,,,,,gsm8k,persistent_onset,qwen3_4b,177,0.6036772216547497,online_budget,,0.0,
a_three_independent__w0.00__persistent_onset,0.6827979740697967,0.6699438202247191,a_three_independent,64,,,,,gsm8k,persistent_onset,qwen3_4b,177,0.6699438202247191,online_budget,,0.0,
a_three_independent__w0.00__persistent_onset,0.7540068972068532,0.7511360598770381,a_three_independent,128,,,,,gsm8k,persistent_onset,qwen3_4b,173,0.7511360598770381,online_budget,,0.0,
a_three_independent__w0.00__persistent_onset,0.9001946076235124,0.8365339578454332,a_three_independent,256,,,,,gsm8k,persistent_onset,qwen3_4b,96,0.8365339578454332,online_budget,,0.0,
a_three_independent__w0.00__persistent_onset,nan,nan,a_three_independent,512,,,,,gsm8k,persistent_onset,qwen3_4b,5,nan,online_budget,,0.0,
a_three_independent__w0.25__peak,0.8474730357925596,0.8333758937691521,a_three_independent,,,,,,gsm8k,peak,qwen3_4b,177,0.8333758937691521,global,,0.25,
a_three_independent__w0.25__peak,,,a_three_independent,,0.35386631716906947,0.5542168674698795,0.2872340425531915,0.37837014470677843,gsm8k,peak,qwen3_4b,177,0.37837014470677843,local,0.06474325181046303,0.25,0.5
a_three_independent__w0.25__peak,,,a_three_independent,,,,,,gsm8k,peak,qwen3_4b,0,0.7105399400508786,online,,0.25,
a_three_independent__w0.25__peak,0.6308696213016699,0.6087844739530133,a_three_independent,16,,,,,gsm8k,peak,qwen3_4b,177,0.6087844739530133,online_budget,,0.25,
a_three_independent__w0.25__peak,0.6446366626354776,0.6036772216547497,a_three_independent,32,,,,,gsm8k,peak,qwen3_4b,177,0.6036772216547497,online_budget,,0.25,
a_three_independent__w0.25__peak,0.6827979740697967,0.6699438202247191,a_three_independent,64,,,,,gsm8k,peak,qwen3_4b,177,0.6699438202247191,online_budget,,0.25,
a_three_independent__w0.25__peak,0.7540068972068532,0.7511360598770381,a_three_independent,128,,,,,gsm8k,peak,qwen3_4b,173,0.7511360598770381,online_budget,,0.25,
a_three_independent__w0.25__peak,0.9001946076235124,0.8365339578454332,a_three_independent,256,,,,,gsm8k,peak,qwen3_4b,96,0.8365339578454332,online_budget,,0.25,
a_three_independent__w0.25__peak,nan,nan,a_three_independent,512,,,,,gsm8k,peak,qwen3_4b,5,nan,online_budget,,0.25,
a_three_independent__w0.25__persistent_onset,0.8474730357925596,0.8333758937691521,a_three_independent,,,,,,gsm8k,persistent_onset,qwen3_4b,177,0.8333758937691521,global,,0.25,
a_three_independent__w0.25__persistent_onset,,,a_three_independent,,0.3912494741270509,0.5542168674698795,0.26595744680851063,0.35943116111892487,gsm8k,persistent_onset,qwen3_4b,177,0.35943116111892487,local,0.06474325181046303,0.25,0.5425531914893617
a_three_independent__w0.25__persistent_onset,,,a_three_independent,,,,,,gsm8k,persistent_onset,qwen3_4b,0,0.7105399400508786,online,,0.25,
a_three_independent__w0.25__persistent_onset,0.6308696213016699,0.6087844739530133,a_three_independent,16,,,,,gsm8k,persistent_onset,qwen3_4b,177,0.6087844739530133,online_budget,,0.25,
a_three_independent__w0.25__persistent_onset,0.6446366626354776,0.6036772216547497,a_three_independent,32,,,,,gsm8k,persistent_onset,qwen3_4b,177,0.6036772216547497,online_budget,,0.25,
a_three_independent__w0.25__persistent_onset,0.6827979740697967,0.6699438202247191,a_three_independent,64,,,,,gsm8k,persistent_onset,qwen3_4b,177,0.6699438202247191,online_budget,,0.25,
a_three_independent__w0.25__persistent_onset,0.7540068972068532,0.7511360598770381,a_three_independent,128,,,,,gsm8k,persistent_onset,qwen3_4b,173,0.7511360598770381,online_budget,,0.25,
a_three_independent__w0.25__persistent_onset,0.9001946076235124,0.8365339578454332,a_three_independent,256,,,,,gsm8k,persistent_onset,qwen3_4b,96,0.8365339578454332,online_budget,,0.25,
a_three_independent__w0.25__persistent_onset,nan,nan,a_three_independent,512,,,,,gsm8k,persistent_onset,qwen3_4b,5,nan,online_budget,,0.25,
a_three_independent__w0.50__peak,0.8474730357925596,0.8333758937691521,a_three_independent,,,,,,gsm8k,peak,qwen3_4b,177,0.8333758937691521,global,,0.5,
a_three_independent__w0.50__peak,,,a_three_independent,,0.3442395399563752,0.5180722891566265,0.32978723404255317,0.4030234315948602,gsm8k,peak,qwen3_4b,177,0.4030234315948602,local,-0.16470147944680993,0.5,0.5531914893617021
a_three_independent__w0.50__peak,,,a_three_independent,,,,,,gsm8k,peak,qwen3_4b,0,0.7105399400508786,online,,0.5,
a_three_independent__w0.50__peak,0.6308696213016699,0.6087844739530133,a_three_independent,16,,,,,gsm8k,peak,qwen3_4b,177,0.6087844739530133,online_budget,,0.5,
a_three_independent__w0.50__peak,0.6446366626354776,0.6036772216547497,a_three_independent,32,,,,,gsm8k,peak,qwen3_4b,177,0.6036772216547497,online_budget,,0.5,
a_three_independent__w0.50__peak,0.6827979740697967,0.6699438202247191,a_three_independent,64,,,,,gsm8k,peak,qwen3_4b,177,0.6699438202247191,online_budget,,0.5,
a_three_independent__w0.50__peak,0.7540068972068532,0.7511360598770381,a_three_independent,128,,,,,gsm8k,peak,qwen3_4b,173,0.7511360598770381,online_budget,,0.5,
a_three_independent__w0.50__peak,0.9001946076235124,0.8365339578454332,a_three_independent,256,,,,,gsm8k,peak,qwen3_4b,96,0.8365339578454332,online_budget,,0.5,
a_three_independent__w0.50__peak,nan,nan,a_three_independent,512,,,,,gsm8k,peak,qwen3_4b,5,nan,online_budget,,0.5,
a_three_independent__w0.50__persistent_onset,0.8474730357925596,0.8333758937691521,a_three_independent,,,,,,gsm8k,persistent_onset,qwen3_4b,177,0.8333758937691521,global,,0.5,
a_three_independent__w0.50__persistent_onset,,,a_three_independent,,0.38473110191801424,0.5180722891566265,0.30851063829787234,0.38672662428283455,gsm8k,persistent_onset,qwen3_4b,177,0.38672662428283455,local,-0.16470147944680993,0.5,0.6063829787234043
a_three_independent__w0.50__persistent_onset,,,a_three_independent,,,,,,gsm8k,persistent_onset,qwen3_4b,0,0.7105399400508786,online,,0.5,
